项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
四川半导体可靠性检测与分析创新服务平台,18PTDJ0053,7130605 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,基础条件平台项目,30,30,30,财务通过，立项完成,直接立项,进行中
面向5G的宽带多媒体集群通信系统开发,2018GZ0092,5224125 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,40,40,40,财务通过，立项完成,直接立项,进行中
超宽带轻薄化柔性化相控阵天线技术研究,1113180202B,7120704 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,类别1,子类1,90,40,40,财务通过，立项完成,直接立项,进行中
基于XX的XX发现与XX预测研究,1102170301B,7060728 ,资源与环境学院,,2018-01-01,2018,2020-12-31,类别1,子类1,20,20,20,财务通过，立项完成,直接立项,进行中
大尺寸少层石墨烯绿色化生产的关键技术研究,2018G20130,7100671 ,材料与能源学院,,2018-01-01,2018,2019-12-01,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
新能源汽车动力电池系统技术研发及应用示范,2018GZ0010,7080627 ,材料与能源学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,35,35,35,财务通过，立项完成,直接立项,进行中
复杂Lurie混沌系统的非脆弱同步与可靠性控制设计,61703060,7110669 ,自动化工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,5.5,3.3,3.3,财务通过，立项完成,直接立项,进行中
耐高温电磁辐射控制材料与结构机理研究,14YY170801A*1,7150710 ,材料与能源学院,,2018-01-01,2018,2020-12-31,类别1,子类4,25,25,25,财务通过,子项目,进行中
5G终端功率放大器芯片模块研发,18ZDYF1065,7130687 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,30,30,30,财务通过，立项完成,直接立项,进行中
**************研制,63DH18103035,7171694 ,光电科学与工程学院,,2018-01-01,2018,2018-12-31,类别8,子类4（课题）,50,50,50,财务通过，立项完成,直接立项,进行中
XXXX研究与样机研制,63DH1810303,5230929 ,物理学院,,2018-01-01,2018,2018-12-31,类别8,子类4（课题）,60,60,60,财务通过，立项完成,直接立项,进行中
XXXX损伤动力学研究,63DH1810304,5230850 ,物理学院,,2018-01-01,2018,2018-12-31,类别8,子类4（课题）,80,80,80,财务通过，立项完成,直接立项,进行中
XXXX控制技术研究,63DH1810501,5230850 ,物理学院,,2018-01-01,2018,2018-12-31,类别8,子类4（课题）,15,15,15,财务通过，立项完成,直接立项,进行中
基于大数据的农村电商个性化精准扶贫服务平台建设,2018GFW0209,5225174 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技服务业,45,45,45,财务通过，立项完成,直接立项,进行中
可穿戴多功能柔性膜材料及其传感器研制,2018GZ0138,7150596 ,材料与能源学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,70,70,70,财务通过，立项完成,直接立项,进行中
****辐射计及应用技术,33MH180109B,5222642 ,自动化工程学院,,2018-01-01,2018,2021-12-31,类别7,子类4,245,245,245,财务通过，立项完成,直接立项,进行中
高比能锂/硫电池技术研发与应用示范,18ZDYF1556,7172753 ,材料与能源学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,45,45,45,财务通过，立项完成,直接立项,进行中
无线通信高速高精度采样及预处理芯片研制,18ZDYF1515,7130687 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,40,40,40,财务通过，立项完成,直接立项,进行中
3~5微米波长可调谐的高峰值功率中红外脉冲光纤激光器,14JL170334A,7100719 ,光电科学与工程学院,,2018-01-01,2018,2019-12-31,类别1,子类7,80,56,56,财务通过，立项完成,直接立项,进行中
面向近场应用的雷达中频系统设计研究,2018GZ0224,7110714 ,自动化工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
地质统计学反演技术研究,2017ZX05018001-006,7060630 ,资源与环境学院,,2018-01-01,2018,2020-06-01,国家科技重大专项,参与课题,71,71,71,财务通过，立项完成,直接立项,进行中
高效可扩展的数据清洗、去冗等数据融合方法,GZ20183002B,7160635 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2020-12-31,省外产学研项目,市厅级项目,200,140,140,财务通过，立项完成,直接立项,进行中
多源异构数据统一表达模型理论和技术研究,GZ20183002A,7160682 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2020-12-31,省外产学研项目,市厅级项目,180,126,126,财务通过，立项完成,直接立项,进行中
移动终端用户隐私保护操作系统关键技术研究,2018GZ0084,5224795 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,25,25,25,财务通过，立项完成,直接立项,进行中
XXX传输理论与应用研究,22JQ17D041A,5224358 ,通信抗干扰技术国家级重点实验室,"西安交通大学,清华大学,武汉中元通信股份有限公司,东南大学,浙江大学",2018-01-01,2018,2021-12-31,类别2,子类2（项目）,3000,2400,2400,财务通过，立项完成,直接立项,进行中
农产品生产溯源综合信息服务平台,2018GFW0038,7172719 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技服务业,15,15,15,财务通过，立项完成,直接立项,进行中
科学挑战专题-强约束条件下集成微系统的基础科学技术问题,31TZ181201A,5230818 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,类别7,子类2,310,304,304,财务通过，立项完成,直接立项,进行中
平面频控阵关键技术研究,2018GZ0213,7160600 ,信息与通信工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
基于DRGs和大数据的疾病临床路径优化研究及应用,18ZDYF2268,8220606 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,10,10,10,财务通过，立项完成,直接立项,进行中
基于视频图像的行为识别及虚实交互应用研究,2018FZ0101,7100692 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
面向航发和燃机叶片高效加工的智能制造单元研制及其应用,2018GZ0060,7100794 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
大型客机记载信息综合处理技术研究及应用,2018GZ0058,5225111 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
航空航天用混合式数字化二次电源系统的研究与应用,2018GZ0066,7140616 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,15,15,15,财务通过，立项完成,直接立项,进行中
基于工业机器人与信息化集成的传动件智能生产线与应用,2018GZ0118,5230598 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
小型无人机飞行控制信号干扰系统,2018GZ0235,7090638 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,9,9,9,财务通过，立项完成,直接立项,进行中
航天产品数字化装配技术研究与应用,2018GZ0062,5230598 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
基于飞行大数据的无人机监管服务平台关键技术研发及应用,2018GZ0073,7110780 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
森林防火特种飞机系统,2018GZ0074,7182719 ,航空航天学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,30,30,30,财务通过，立项完成,直接立项,进行中
多模态交互式肿瘤防治科普互联网平台的研发与应用,2018KZ0007,7110828 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2018-12-31,四川省科技计划项目,其他,16,16,16,财务通过，立项完成,直接立项,进行中
高能量密度压敏陶瓷材料器件关键技术及产业化研究,2018G20337,5220837 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,科技支撑计划,9,9,9,财务通过，立项完成,直接立项,进行中
***策略研究,61QB171QB03*1,7070632 ,外国语学院,,2018-01-01,2018,2018-12-31,类别9,子类1,8,8,8,财务通过,子项目,进行中
基于大数据的高速列车轮对轴承若干 PHM 基础理论和方法研究,RCS2018K002,7150625 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,实验室基金（校外）,实验室基金（一般类）,5,5,5,财务通过，立项完成,直接立项,进行中
超低功耗射频采样Pipelined-SAR ADC研究,14JL180224A,7130687 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,类别1,子类7,100,70,70,财务通过，立项完成,直接立项,进行中
强震区地质灾害链预测评价与综合检测预警,2017YFC1501005,7090675 ,自动化工程学院,,2018-01-01,2018,2021-12-31,国家重点研发计划,参与课题,69,69,69,财务通过，立项完成,直接立项,进行中
高速铁路伤损检测与安全评估技术研究及应用,20186120047,7140599 ,自动化工程学院,西南交通大学,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,50,50,50,财务通过，立项完成,直接立项,进行中
中医药研发创新信息支撑服务平台,2018TJPT0039,7070674 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,基础条件平台项目,7.5,7.5,7.5,财务通过，立项完成,直接立项,进行中
大数据业务模型可视化快速生成与运行服务平台研,2018GZ0103,5231066 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
